code,name,category,standards.en388,standards.en407,standards.en511,standards.note,materials.liner,materials.coating,features,best_for,why,link
+921,Sigma +921,Cut Resistant,2X43,—,—,"Cut 5 (HPPE), some exact sub-scores not provided",HPPE,—,"High cut resistance (Cut 5); Good grip in oily/dry environments","Metalwork; Sharp edge handling","Made with HPPE fiber and Cut Level 5, ideal for handling sharp materials in oily environments.",https://sigmagloves.com/products/sigma-921-cut-resistant-work-gloves/
+911,Sigma +911,Cut Resistant,1X42,—,—,"Cut 5 (HPPE)",HPPE,—,"Strong cut protection; Good dexterity","Fine metalwork; General tasks with cut risk","Cost-efficient glove with strong cut protection and good dexterity for fine metalwork.",https://sigmagloves.com/products/sigma-911-cut-resistant-work-gloves/
922,Sigma 922,Cut Resistant,3X42,—,—,"Cut 5 (HPPE)",HPPE,—,"Balanced comfort and cut protection","Light-to-medium duties with sharp edges","Balanced comfort and cut protection for light-to-medium duties.",https://sigmagloves.com/products/sigma-931-cut-resistant-work-gloves/
412,Sigma 412 (Latex),General / Anti-slip,—,—,—,,Polyester/Filament,Latex,"Anti-slip; Comfortable for general work","General tasks; Wet surfaces","Latex coating with anti-slip grip; great for general tasks and wet surfaces.",https://sigmagloves.com/products/sigma-412-latex-work-gloves/
418,Sigma 418 (Latex),General / Light Assembly,—,—,—,,Clean knit,Latex,"Solid grip; Soft and comfortable","General work; Light assembly","Clean latex knit with solid grip; suited for general work and light assembly.",https://sigmagloves.com/products/sigma-418-latex-work-gloves/
+422,Sigma +422 (Latex),General (Reinforced),—,—,—,,—,Latex,"High tensile strength; Anti-slip","General work; Slightly heavier tasks","Latex with higher tensile strength and anti-slip; a more robust general-purpose option.",https://sigmagloves.com/products/sigma-422-latex-work-gloves/
432,Sigma 432 (Latex),General / Wet Conditions,—,—,—,,—,"Latex (wider coverage)","Higher durability; Grip in wet/slippery conditions","Wet & slippery conditions; General tasks","Latex with fuller coverage and higher durability; good for wet and slippery conditions.",https://sigmagloves.com/products/sigma-432-latex-work-gloves/
+434,Sigma +434 (Terry/Latex),Winter / Wet,—,—,—,,Warm terry liner,Latex,"Warm & soft; Good grip","Cold weather; Wet conditions","Warm terry liner with latex coating for winter use and solid grip.",https://sigmagloves.com/products/sigma-434-latex-work-gloves/
+446,Sigma +446 (Textured Latex),Winter / Wet,2142,—,—,,Fleeced warm polyester,Textured latex,"Hand warmth; Excellent grip when wet","Gardening; Construction; Cold/wet work","Warm liner and textured latex grip for cold or wet conditions.",https://sigmagloves.com/products/sigma-446-latex-work-gloves/
+485,Sigma +485 (Latex Foam),General / High Grip,2242,—,—,,—,"Latex foam + latex layer","Strong grip; Flexibility & breathability","Long shifts; Slippery surfaces","Foam coating provides excellent grip and breathability for long use.",https://sigmagloves.com/products/sigma-485-latex-work-gloves/
348,Sigma 348 (Nitrile),Oily/Chemical,—,—,—,"Oil/solvent resistant; EN374 details may be needed",—,Nitrile,"Oil & solvent resistance; Hypoallergenic","Oil & Gas; Petroleum/solvent handling","Nitrile-coated for oil and chemical resistance, ideal for petrochemical environments.",https://sigmagloves.com/products/sigma-986-cut-resistant-work-gloves/
342,Sigma +342 (Nitrile),Oily/Chemical,—,—,—,,—,Nitrile,"Suitable for solvents; High durability","Oily/solvent environments","Nitrile for oils and solvents with high durability.",https://sigmagloves.com/products/sigma-486-nitrile-work-gloves/
344,Sigma 344 (Nitrile),Oily/Heavy-duty,—,—,—,,—,"Reinforced nitrile","Better durability & puncture resistance; Suited for heavy tasks","Solvents/oil; Heavy-duty work","Reinforced nitrile; suitable for solvents and oils in heavy-duty work.",https://sigmagloves.com/products/sigma-344-nitrile-work-gloves/
346,Sigma 346 (Nitrile),Oily/Reinforced,—,—,—,,—,"Nitrile with reinforced fingertips","High durability; Oil grip; Reinforced fingertips","Oil & Gas; Heavy oily tasks","Durable nitrile with reinforced fingertips; ideal for oily, heavy-duty tasks.",https://sigmagloves.com/products/sigma-334-nitrile-work-gloves/
332,Sigma 332 (Nitrile),Oily/High Durability,—,—,—,,—,"Full nitrile","High durability; Good puncture resistance","Oil/solvent contact; Repair/mechanical","Full nitrile for oils and solvents with high durability.",https://sigmagloves.com/products/sigma-332-nitrile-work-gloves/
312,Sigma 312 (Nitrile),Oily/Mechanical,—,—,—,,—,Industrial nitrile,"Good puncture resistance; Hypoallergenic","Petroleum handling; Repair/mechanical","Industrial nitrile with good puncture resistance; suitable for oily/petro work.",https://sigmagloves.com/products/sigma-312-nitrile-work-gloves/
